section,question,Question,Answer,Keywords
5,23,What happens in the Audit sheet?,"Use ""Export to Audit Sheet"" → Add statuses manually → Track interviews/admissions.",Export to Audit Sheet | statuses | interviews | admissions
5,24,How is the Interview Prep tab maintained?,"Use ""Export to Interviews"" → Add initials and session data → Yellow = in progress, Green = done → Column T = counsellors, U = final school admit.",Export to Interviews | session data | Column T | Column U | school admit
5,25,How are Testimonials recorded?,Export from Audit Sheet (once per student) → Add colleges manually → Upload testimonial text/links.,Testimonials | Audit Sheet | colleges | testimonial text | links
5,26,What does the All Paid Students tab track?,History of IDs → Used to create new IDs → Delete and re-add if duplicates exist.,All Paid Students | history of IDs | create new IDs | duplicates
5,27,What is the Guidelines tab used for?,Read before editing or deleting any data.,Guidelines tab | editing | deleting
6,1,When do you schedule a session?,When a student uploads the form on Box for the session they have signed up for.,Schedule session | student uploads form | Box
6,2,How do you determine this session can be scheduled?,"Check the uploaded form → If all required data in the relevant tabs is filled out, the session can be scheduled.",Uploaded form | required data | relevant tabs | scheduled
6,3,Which tabs do you need to check to determine form completion?,"Counselling: Candidate profile tab + counselling-specific tab → Follow-up counselling: Candidate profile tab + follow-up session tab → College Selection: Candidate profile tab + college selection tab → Brainstorming: Candidate profile tab, Personal stories, Professional stories, Goals, Common App, College Essay, Recommender, Recommendation Questions, Deadlines tabs → Interview Prep: Candidate profile tab",Counselling | College Selection | Brainstorming | Interview Prep | tabs
6,4,How do you schedule the session?,Share the form folder with the expert (Viewer/Uploader access) → Email the student with “Session with [Counsellor Name]” subject to pick a time → Update the counsellor’s tracker with session details → Update the student sheet with counsellor initials in the relevant session column.,Share form | Viewer/Uploader | email student | counsellor tracker | student sheet
6,5,What do you do once the session is completed?,Check if feedback form is uploaded on Box → Remind counsellor if missing → Mark the counsellor initials green in the respective session entry in the student sheet.,Feedback form | Box | counsellor initials | student sheet
7,1,Where are the process documents saved?,OneDrive > Sharing with Vibha > [Year] Process Document folders.,OneDrive | Sharing with Vibha | Process Document folders
7,2,How do you create a new canned response?,Open a new email → Remove the signature → Draft your email and add a subject → Click the 3 dots at the bottom of the email window → Select “Templates” → “Save draft as template” → “Save as new template” with the subject name.,Canned response | email | templates | save as new template
8,1,What is the purpose of the weekly conversion tracker process?,To update the digital marketing team with weekly student conversions using student payment data and HubSpot leads.,Weekly conversion | digital marketing | student conversions
8,2,Where do you find the payment data for the week?,In the 'All Payments' tab of the current year's student sheet.,All Payments tab | current year | student sheet
8,3,What date range should you consider for copying payments?,From last Tuesday to this Monday.,Date range | last Tuesday | this Monday
8,4,Where should the copied payment data be pasted?,In the 'weekly conversion' tab of the 'ReachIvy Digital Ads Reports by MANA' Google Sheet.,Weekly conversion | ReachIvy Digital Ads Reports | MANA
8,5,What must you ensure when pasting the payment data?,Paste in the correct columns and fill all required fields accurately.,Correct columns | required fields
8,6,How do you find this week's student leads from HubSpot?,Go to HubSpot > Contacts > Filters.,HubSpot | Contacts | Filters
8,7,What filters should be applied in HubSpot?,"Set filters for 'Create Date' between last Tuesday and this Monday, and 'Original Lead Source' as 'query'.",HubSpot | filters | Create Date | Original Lead Source
8,8,How do you export the filtered HubSpot data?,Click on the export button in HubSpot after applying filters.,Export | HubSpot | filters
8,9,Where will the exported HubSpot data be sent?,To help@reachivy.com via email.,Exported data | help@reachivy.com | email
8,10,What should you do after downloading the HubSpot data?,Keep only the required columns that match the raw data tab and arrange them in the same order.,Required columns | raw data tab | arrange
8,11,Which tab should the HubSpot raw data be matched with?,The 'raw data' tab in the 'ReachIvy Digital Ads Reports by MANA' sheet.,Raw data tab | ReachIvy Digital Ads Reports | MANA
8,12,What should you ensure when pasting HubSpot data into the raw data tab?,Ensure the columns are correctly arranged and pasted to match the raw data format.,Columns | correctly arranged | raw data format
8,13,What is the final step after updating both sets of data?,Inform the digital marketing team on the WhatsApp group.,Inform | digital marketing team | WhatsApp group
9,1,"Internships while doing full-time studies:
My prospective colleges would know that I am a full time university student so want to know wouldn’t it be problem to them if I miss my classes and go for the 6 month internship. Will missing classes for a 6-month internship negatively impact my application?","Colleges will only view it negatively if your academics suffer → If you maintain strong grades and show meaningful impact from the internship, it can enhance your profile.",Internship | full-time studies | strong grades | meaningful impact
10,1,Who uploads the transcripts?,For undergraduate applications: the school uploads the transcripts → For postgraduate applications: you can upload them yourself.,Undergraduate | postgraduate | transcripts | upload
10,2,Who updates the test scores?,"The relevant testing organization (e.g., ETS, GMAC) sends scores directly to the colleges → You may need to pay a fee for each report.",Test scores | ETS | GMAC | fee
10,3,I scored 97/120 in TOEFL iBT. Should I retake the exam?,"Top colleges typically expect TOEFL scores in the 100–110 range → A retake targeting 110 is recommended → Alternatively, check each college's requirement and decide accordingly.",TOEFL iBT | retake | 100–110 range
10,4,My GMAT scores expire just before R1/R2 deadlines. What should I do?,Retake the GMAT as expired scores may not be accepted → Also reach out to each school’s admissions team to confirm if your existing score can still be considered.,GMAT | expired scores | R1/R2 deadlines | admissions team
10,5,Can I submit unofficial GMAT scores if the official ones don’t arrive before the deadline?,Each school has its own policy → Some accept unofficial scores at the deadline and require official ones after admission → Always check the specific program’s website for guidance.,Unofficial GMAT scores | deadline | official scores | program policy
11,1,Does ReachIvy help with filling up or reviewing the online application?,"No, we do not help you fill out or review your online applications → The scope of service is as per your Invoice → We specialize in essays, recommendations, resume, and interview prep.",Online application | Invoice | essays | recommendations | resume
11,2,Do I need to take the TOEFL / IELTS along with my SAT/GMAT? What if I don’t take it?,"Every school has different requirements → Refer to each school’s website for their language proficiency policies → If unclear, write directly to the admissions office for confirmation.",TOEFL | IELTS | SAT | GMAT | language proficiency policies
11,3,"Choosing pathways in an undergraduate application (e.g., UC Berkeley)?",You can’t go wrong with either the traditional or Fall Program for Freshmen (FPF) path → FPF offers an easier transition to campus with smaller class sizes and more personal attention.,Undergraduate application | pathways | Fall Program for Freshmen | FPF
11,4,Should I answer the ‘Additional Information’ question in the Common App?,"Choose ""No"" unless you have extenuating circumstances that must be explained.",Additional Information | Common App | extenuating circumstances
11,5,LORs and resume already uploaded on CommonApp — do I need to resubmit them to universities?,"No, if submitted via CommonApp, you do not need to send them again.",LORs | resume | CommonApp | universities
11,6,My application portal shows 'incomplete' despite submission — what should I do?,Email the university to inquire about the incomplete status and ask what needs to be submitted.,Application portal | incomplete status | email university
11,7,LORs and resume already uploaded on CommonApp — do I need to resubmit them to universities?,"No, if submitted via CommonApp, you do not need to send them again.",LORs | resume | CommonApp | resubmit
11,8,My application portal shows 'incomplete' despite submission — what should I do?,Email the university to inquire about the incomplete status and ask what needs to be submitted.,Application portal | incomplete status | email university
11,9,When should I send documents if deadlines are in March — is January ideal?,The earlier this is done the better.,Send documents | deadlines | January
11,10,Can we upload a summer internship certificate along with transcripts via school counselor?,"Each school has its own process → Some allow additional uploads, others do not → Please check each university's policy before uploading.",Summer internship certificate | transcripts | school counselor | upload policy
11,11,How do I upload recommendation letters from community service or third parties?,Each school has its own process → Check the program website → Not all schools accept additional LORs.,Recommendation letters | community service | third parties | LORs
11,12,No updates on my application — what should I do?,"Send an update letter with recent accomplishments and reiterate your interest → Avoid repeating what's already in your application.In case there is no revert on your application in a long time - You can send an update letter to the school. Please talk about accomplishments/ updates since you sent the application (do not repeat info that is already there in your application) and also reiterate your commitment to the college. Let them know it’s your priority one school, you look forward to hearing from them soon and are happy to connect if there are any questions. ",Update letter | accomplishments | interest | application
11,13,"part 1) I have admits from 2 or more schools, how do I choose between schools – ","Rankings are only an initial benchmark, and will change regularly and vary based on the source. I strongly recommend you instead focus on fit:  

- connect with at least 2 students & 2 alumni    to understand class/campus/peer dynamics 

- look at the class profile details (what role/industry students are coming from) 

- look at the career statistics (what companies/sectors/roles graduates are getting hired for) 

- review the curriculum (is it relevant to your career goals) ",Multiple school admits | rankings | class profile | curriculum | career outcomes
11,14," Part 2:) Now that I’ve received an offer from durham university, its better that i reply back with my decision soon so that i get a good college, if I’m to go to Durham. But, till now Kings has not replied back with any decision on my app. so I was wondering if i get an offer from Kings as well, then which one should i go for ? Please forward this to the counsellors and the team which has worked with me! There are a few questions and things on my mind which i would like to get advice on, 
for example, 

 i want to know that because kings is located in central london, which means i would gain more experience being in the city as compared to being at Durham, so how much does that make a difference in one’s masters? 

Also, the kind of course and study which would be my main focus, i have researched on both the college’s respective site ( of MA in international relations and politics ) , and i feel that durham is offering a better course.. But i would really like if the counsellors can go on their site and just check please. 

And lastly, it is important that i choose the university which has more academic reputation and standing. What i know is Kings has a name because of being in central london, but im not sure whether its really that good for masters. Whereas, Durham seems to be more academically prestigious and reputed. So I would like to know the counsellors response too, on the reputation of the colleges. ","Congratulations on Durham! 

 

In the offer letter Durham would have provided you with a date/deadline by which you need to reply.  I would recommend you wait at least a week before that deadline to accept the offer or decline the offer.  

With regards to Kings I recommend you send them an update email, just providing a 2-3 points on what has changed/improved since you applied and that you are looking forward to hearing back from them.  If they need any other information, you are happy to provide that. 

In terms of ranking both globally and for your program, King's has a stronger reputation. 

To decide between the two options - I strongly recommend you look at 3 things: 

1) The class profile - are you going to be with a peer group you see yourself learning from both in the long term and short term? 

2) Curriculum - is the class material aligning with your goals and expectations? 

3) Career prospects - the college needs to allow you to gain employment in your company / field / role of preference. 

To find this information, look at the college website, like/follow them on social media, read their student blogs and connect with students and alumni from these colleges.  LinkedIn profiles of graduates will also give you great insight. ",deadline | class profile | curriculum | outcomes
11,15,Choosing between UK and USA schools?,"UK vs USA - the educational system and methodology is completely different.  our preference is for the USA as you gain a more holistic approach to education, and flexibility to explore your academic options for deciding.  The UK is very professionally oriented.  We recommend you look at a) class profile b) curriculum (very important) and c) job options post graduation and then decide which geography suits you.  You will find a vast difference in the curriculum structure. ",UK schools | USA schools | curriculum structure | class profile | job options
11,16,How do I choose a first-year pathway at UC Berkeley?,"Choosing a first year pathway when you enrol at UC Beerkeley. Choosing the traditional pathway or the fall program for freshman pathway - You can’t go wrong with either path but  

- the FPF will allow an easier transition to the main campus.  It allows you to settle in with a smaller group of students before you sit in a 600 person lecture. Students generally feel less overwhelmed with this option. ",first-year pathway | FPF | smaller classes
12,1,How do I choose between AdCom members for my interview?,There’s no perfect strategy → Industry-specific members may lead to deeper questions → Non-industry members may not relate to your story → Choose based on comfort.,AdCom members | interview | industry-specific | comfort
12,2,Which is better: campus or online interview?,"A campus interview is always preferable → Visit the campus, attend classes, meet professors, students, and AdComs → Opt for online only if travel is inconvenient.",Campus interview | online interview | visit campus | meet professors
12,3,When should I start preparing for the interview?,"It’s your choice → Some students begin prep after submitting their application, others after receiving an interview invite.",Interview preparation | application submission | interview invite
12,4,How do I prepare for the core interview questions?,Review the Interview Prep Manual → Practice using the ReachIvy Interview Prep Tool → Schedule a mock interview with a ReachIvy expert.,Core interview questions | Interview Prep Manual | mock interview
